bg_id,ward_id
170312909001,24
170312909002,24
170312909003,24
170312909004,24
170318387002,24
170313102001,11
170313102002,11
170314005002,20
170314804006,8
170314804007,8
170314805001,7
170312608002,28
170312609001,24
170312609002,24
170312610002,24
170312912002,24
170318431001,24
170318433001,28
170318387004,24
170318431002,24
170314008001,20
170314008002,20
170318363001,5
170314105001,5
170314105002,5
170314106002,5
170314107001,4
170314108001,5
170314108002,5
170314903001,9
170314905001,9
170314907001,9
170315607001,23
170315608001,14
170315608002,14
170315608004,23
170315608005,23
170315609003,23
170315609004,23
170315609005,23
170315609006,23
170315610001,13
170315610002,13
170315610003,13
170312505005,29
170312505006,29
170312505007,29
170312506001,29
170312506002,29
170312506003,29
170312507001,37
170318414001,24
170312922001,24
170312922002,24
170312922003,24
170318414002,24
170312924001,24
170312925001,24
170312925002,24
170312925003,24
170312925004,24
170313104001,25
170313106001,25
170313106002,25
170313108003,25
170313109001,25
170313109002,25
170313109003,25
170314110001,5
170314110002,5
170314110003,5
170314111001,5
170314111002,5
170314112001,5
170314112002,5
170314907002,9
170314907003,9
170314908001,9
170314908002,9
170314908004,9
170314909024,9
170315610004,13
170315610006,23
170315611002,23
170315611003,23
170315611004,13
170315701001,14
170312601001,28
170318407001,12
170313005001,22
170313005002,22
170313006001,22
170313006002,22
170318412003,25
170318412001,25
170318413001,25
170318413004,25
170318413003,25
170314204001,20
170314206001,20
170314206002,20
170314207001,20
170314207002,20
170314207004,20
170314207005,20
170314208001,20
170314208002,5
170314910001,34
170314910003,34
170314911001,34
170314911002,34
170314911003,34
170314911004,34
170314911005,34
170315703001,14
170315703002,14
170315703003,14
170315704001,14
170315704002,14
170315705001,23
170315705002,23
170315801001,12
170315801002,12
170313007001,22
170313008001,22
170313008002,12
170313009002,12
170313012001,24
170318432002,25
170318432001,25
170313201001,42
170313201002,42
170318344001,20
170318344003,5
170318439002,5
170314212001,20
170314912001,34
170314912002,34
170314912003,34
170314913002,34
170314913003,34
170314914001,9
170315001001,8
170315001002,8
170315001003,8
170315802001,12
170315802002,12
170315803001,12
170315804001,14
170315804002,14
170315804003,14
170315804004,14
170315805014,12
170315805022,15
170312606001,28
170318408001,22
170318408002,22
170313016001,22
170313017011,22
170313017023,22
170313017021,22
170313017022,22
170313018021,22
170313206001,4
170313206002,4
170314302001,5
170314302003,5
170314302004,5
170314302005,5
170314303001,5
170314303003,5
170314304001,8
170314304002,8
170314304003,8
170314304004,8
170314305002,7
170314305003,7
170315001004,8
170315002001,9
170315002002,9
170315003001,9
170315101001,10
170315805021,15
170315805011,12
170315806001,12
170315806002,12
170315806003,15
170315807001,15
170318428002,15
170318428005,15
170318428003,14
170318428004,14
170318368002,28
170318369002,28
170313301004,4
170313301001,3
170313301002,3
170314306001,5
170314306002,5
170314308001,7
170314308002,7
170314309001,8
170318342001,8
170318342003,8
170315102001,10
170315102002,10
170315103001,7
170315103004,7
170318404002,12
170318403002,12
170318403003,12
170318403001,12
170312714001,28
170312715001,24
170318373002,24
170318411001,25
170318411004,25
170318411002,25
170314313022,7
170314313012,7
170314313013,7
170314314002,7
170314314003,7
170315103003,7
170315202001,10
170315905001,12
170315906001,12
170315906003,12
170318401001,11
170316004001,11
170316004002,11
170316004003,11
170312801002,42
170313018032,22
170313403001,11
170313405001,11
170318392002,3
170314401011,8
170314401023,8
170314401014,8
170314402022,6
170314402023,6
170314402012,6
170314403003,6
170314403004,6
170314403005,6
170314403001,6
170315202002,10
170315203001,10
170315203002,10
170315203003,10
170315204001,10
170315204002,10
170315204004,10
170315205003,10
170315205001,10
170316006001,11
170316007001,11
170318397003,11
170318397001,11
170318305001,22
170318305002,22
170318420002,3
170313510001,4
170313510003,4
170318396001,4
170318424001,17
170318424002,21
170318424003,17
170314406001,9
170314406002,9
170314407001,6
170314407002,9
170314408001,8
170315302001,34
170315302002,34
170315302003,34
170316009001,11
170316009003,11
170318398002,11
170318400001,11
170318399001,11
170318399003,11
170318399004,11
170318399005,11
170318400002,11
170312808001,27
170312809001,27
170313602001,4
170318364001,4
170318364002,4
170314408002,8
170314409001,8
170314409002,9
170314409003,9
170318343003,8
170318343004,8
170318343005,8
170318343001,8
170315303001,34
170315303002,34
170315303003,34
170315303004,34
170315304001,34
170315304002,34
170318426002,11
170316103001,12
170316103002,15
170316104001,15
170312518004,28
170312518005,28
170312518001,28
170312518002,28
170312520001,29
170312520002,29
170312520003,29
170312520004,29
170312819001,42
170312819002,42
170318419001,25
170313802001,3
170314503002,8
170314503003,8
170314601003,7
170314601004,7
170314602001,10
170315305011,34
170315305012,34
170315305031,34
170315306001,9
170315306002,9
170315306003,9
170318426003,11
170318438001,3
170316111003,20
170316113001,20
170312507002,37
170312507003,37
170312507004,37
170312507005,37
170312508001,37
170312508002,37
170312511001,37
170312511002,37
170312521023,29
170312522021,28
170312522023,24
170318329002,28
170318329001,28
170318381003,27
170312827001,28
170312828001,28
170313805001,3
170318360002,3
170318360001,3
170313812001,3
170314603021,7
170314603022,7
170314603023,7
170314603013,7
170314603011,7
170314603012,10
170314604002,7
170314604003,7
170314604004,7
170314605001,7
170315401013,9
170316113002,20
170316113003,15
170316114001,15
170316114003,15
170316115002,15
170316116001,16
170316116002,16
170316117001,16
170316117003,16
170312512002,37
170312512003,37
170312512001,37
170312513001,29
170312513002,29
170312513004,29
170312513005,29
170312514002,29
170312514003,29
170318138012,24
170318138013,22
170318100003,49
170318102002,49
170318102003,49
170318102006,49
170318142001,22
170310306041,48
170310801007,43
170311408001,33
170312522011,28
170318103012,50
170318103013,50
170318103014,50
170318104001,41
170318104002,41
170316304004,14
170318105011,38
170318105013,38
170318105015,38
170318105023,38
170318105025,38
170318106001,38
170318106002,38
170318106003,41
170318107011,29
170318107012,29
170318107013,29
170318107014,29
170318107021,29
170318111004,38
170318076003,50
170318078001,41
170318079002,39
170318119001,29
170318054024,41
170318054025,41
170318080013,39
170318080022,50
170318080023,50
170318080024,50
170318121001,29
170318121002,29
170318055022,41
170318055023,41
170318056002,41
170318056003,41
170318081002,41
170318121003,29
170318121005,29
170318122001,29
170318122004,29
170318056004,41
170318057022,41
170318125001,29
170318126002,29
170318130001,29
170318130002,29
170318131001,29
170318134001,29
170318134006,29
170318135001,29
170311503007,45
170312306002,37
170311302001,39
170311606011,33
170317403001,19
170319900000,42
170318360003,4
170318436002,4
170318358001,3
170318345001,20
170318362001,5
170318439001,5
170318344002,20
170318420001,3
170310202004,50
170311906013,30
170312602001,28
170314602002,10
170316713001,15
170316603024,16
170312421003,1
170312428001,26
170312429002,26
170312430002,26
170312431002,1
170312804001,27
170312432002,1
170312433002,1
170318342004,5
170318342002,8
170318340001,21
170318343002,8
170310101003,49
170310632004,44
170310103003,49
170310107023,49
170310107011,49
170310102012,49
170312106021,35
170310105022,49
170310105012,49
170310105011,49
170310106002,49
170310106004,49
170312435002,27
170312435001,27
170312504005,29
170312512004,37
170312510001,37
170312517001,28
170312514004,29
170316812003,6
170316809001,20
170316903002,6
170316813002,6
170316813001,6
170317101001,6
170316814003,17
170316905001,6
170316912002,6
170318343006,8
170310814032,42
170318339001,10
170318339002,10
170318340002,21
170314909022,9
170310201001,50
170310104003,49
170310106003,49
170318306004,50
170310205003,50
170310203012,50
170310301031,48
170310301032,48
170310306031,48
170310306032,48
170310307011,48
170310313001,48
170310106001,49
170310107012,49
170318306003,40
170318306002,49
170310205002,50
170310205004,50
170310203011,50
170310301022,48
170313515002,3
170310301014,48
170310306012,48
170310306011,48
170310313003,48
170310313002,48
170310312004,48
170310315012,46
170312515004,37
170312518003,28
170312604001,28
170312521011,29
170312605001,28
170312610001,24
170312603001,28
170316913001,6
170317001002,18
170317002003,18
170311104001,45
170317004023,18
170317005022,18
170317005021,18
170318352001,23
170318399002,11
170318397002,11
170318426001,11
170318426004,11
170318438002,3
170318351001,15
170318350001,16
170312505002,29
170312505003,29
170312505004,29
170316406002,13
170310814022,42
170310609004,46
